id,related_id,class,type/scale,name,relevance,text,help,language,validation,mandatory,other,default,same_default,allowed_filetypes,alphasort,answer_width,answer_width_bycolumn,array_filter,array_filter_exclude,array_filter_style,assessment_value,category_separator,choice_input_columns,choice_title,code_filter,commented_checkbox,commented_checkbox_auto,cssclass,date_format,date_max,date_min,display_columns,display_rows,display_type,dropdown_dates,dropdown_dates_minute_step,dropdown_dates_month_style,dropdown_prefix,dropdown_prepostfix,dropdown_separators,dropdown_size,dualscale_headerA,dualscale_headerB,em_validation_q,em_validation_q_tip,em_validation_sq,em_validation_sq_tip,equals_num_value,equation,exclude_all_others,exclude_all_others_auto,hidden,hide_tip,input_boxes,input_size,label_input_columns,location_city,location_country,location_defaultcoordinates,location_mapheight,location_mapservice,location_mapwidth,location_mapzoom,location_nodefaultfromip,location_postal,location_state,max_answers,max_filesize,max_num_of_files,max_num_value,max_num_value_n,max_subquestions,maximum_chars,min_answers,min_num_of_files,min_num_value,min_num_value_n,multiflexible_checkbox,multiflexible_max,multiflexible_min,multiflexible_step,num_value_int_only,numbers_only,other_comment_mandatory,other_numbers_only,other_replace_text,page_break,parent_order,prefix,printable_help,public_statistics,question_template,random_group,random_order,rank_title,repeat_headings,reverse,samechoiceheight,samelistheight,scale_export,show_comment,show_grand_total,show_title,show_totals,showpopups,slider_accuracy,slider_custom_handle,slider_default,slider_default_set,slider_handle,slider_layout,slider_max,slider_middlestart,slider_min,slider_orientation,slider_rating,slider_reset,slider_reversed,slider_separator,slider_showminmax,statistics_graphtype,statistics_showgraph,statistics_showmap,suffix,text_input_columns,text_input_width,time_limit,time_limit_action,time_limit_countdown_message,time_limit_disable_next,time_limit_disable_prev,time_limit_message,time_limit_message_delay,time_limit_message_style,time_limit_timer_style,time_limit_warning,time_limit_warning_2,time_limit_warning_2_display_time,time_limit_warning_2_message,time_limit_warning_2_style,time_limit_warning_display_time,time_limit_warning_message,time_limit_warning_style,use_dropdown,value_range_allows_missing
32122,,G,1,Candidate Feature Evaluation - JReversePro - Node 12,Array,"<ul><li dir=""ltr"">	<p dir=""ltr""><b id=""docs-internal-guid-9e3b2b8e-7fff-807d-a899-24927adcd04d"">Extent: </b>[jreversepro.JAwtFrame, jreversepro.JMainFrame]</p>	</li>	<li dir=""ltr"">	<p dir=""ltr""><b>Intent: </b>[void addListeners(), void appClose(), void copyText(), void cutText(), void formatTitle(String aFileName), void initAppState(), void main(String[] aArgs), void openFile(), void reverseEngineer(File aFile), void saveFile(), void saveProperties(), void showAbout(), void showFontDialog(), void viewPool()]. </p>	</li></ul>",,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701609,,Q,Y,JRevNode12Q1,1,"<b id=""docs-internal-guid-fcbda8b0-7fff-2782-3cd8-37b00a19efac"">Is the multiple occurrence of the same set of methods meaningful?</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701610,,Q,5,JRevNode12Q2,1,"<p dir=""ltr""><b id=""docs-internal-guid-dfe3c127-7fff-ed3e-071c-f38cc0882c43"">Are the elements of the feature functionally cohesive, i.e. do the set of methods that occur together (appear to) contribute to the same functions? Assign a cohesion score from 1 (for low cohesion) to 3 (for high cohesion)</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701611,,Q,Y,JRevNode12Q3,1,"<b id=""docs-internal-guid-5b3be9c5-7fff-656f-dfd0-386a1914ca7a"">Does the feature correspond to a “useful” or “interesting” domain abstraction”.</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701612,,Q,T,JRevNode12Q4,"((579469X32122X701611.NAOK == ""N""))","<p dir=""ltr""><b id=""docs-internal-guid-c236e001-7fff-fdf9-a66e-b3d31c67d49b"">Do you see a design anomaly that could have explained how/why this case (multiple occurrences of a set of methods) showed up?</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174918,701611,C,1,579469X32122X701611,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701613,,Q,T,JRevNode12Q5,"((579469X32122X701611.NAOK == ""N""))","<p dir=""ltr""><b id=""docs-internal-guid-4fc83f86-7fff-9116-d7ab-d920ebec445e"">Can you think of a “rule” that could have excluded this case?</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174919,701611,C,1,579469X32122X701611,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32123,,G,2,Candidate Feature Evaluation - JReversePro - Node 14,Array,"<ul><li dir=""ltr"">	<p dir=""ltr""><b id=""docs-internal-guid-86de3dfe-7fff-b0af-d2e2-6e04ae76cbf0"">Extent: </b>[jreversepro.revengine.JBranchTable, jreversepro.revengine.JCollatingTable]</p>	</li>	<li dir=""ltr"">	<p dir=""ltr""><b>Intent:</b> [void sort()]</p>	</li></ul>",,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701614,,Q,Y,JRevNode14Q1,1,"<b id=""docs-internal-guid-fcbda8b0-7fff-2782-3cd8-37b00a19efac"">Is the multiple occurrence of the same set of methods meaningful?</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701615,,Q,5,JRevNode14Q2,1,"<p dir=""ltr""><b id=""docs-internal-guid-dfe3c127-7fff-ed3e-071c-f38cc0882c43"">Are the elements of the feature functionally cohesive, i.e. do the set of methods that occur together (appear to) contribute to the same functions? Assign a cohesion score from 1 (for low cohesion) to 3 (for high cohesion)</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701616,,Q,Y,JRevNode14Q3,1,"<b id=""docs-internal-guid-5b3be9c5-7fff-656f-dfd0-386a1914ca7a"">Does the feature correspond to a “useful” or “interesting” domain abstraction”.</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701617,,Q,T,JRevNode14Q4,"((579469X32123X701616.NAOK == ""N""))","<p dir=""ltr""><b id=""docs-internal-guid-c236e001-7fff-fdf9-a66e-b3d31c67d49b"">Do you see a design anomaly that could have explained how/why this case (multiple occurrences of a set of methods) showed up?</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174920,701616,C,1,579469X32123X701616,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701618,,Q,T,JRevNode14Q5,"((579469X32123X701616.NAOK == ""N""))","<p dir=""ltr""><b id=""docs-internal-guid-4fc83f86-7fff-9116-d7ab-d920ebec445e"">Can you think of a “rule” that could have excluded this case?</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174921,701616,C,1,579469X32123X701616,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32124,,G,3,Candidate Feature Evaluation - JReversePro - Node 15,Array,"<ul><li dir=""ltr"">	<p dir=""ltr""><b id=""docs-internal-guid-bc7488fe-7fff-cd3d-2a48-7d9c2c4db824"">Extent:</b> [jreversepro.awtui.JCustomListPanel, jreversepro.awtui.JErrorDlg, jreversepro.gui.JCustomListPanel, jreversepro.gui.JErrorDlg]</p>	</li>	<li dir=""ltr"">	<p dir=""ltr""><b>Intent: </b>[void addComponents()]</p>	</li></ul>",,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701619,,Q,Y,JRevNode15Q1,1,"<b id=""docs-internal-guid-fcbda8b0-7fff-2782-3cd8-37b00a19efac"">Is the multiple occurrence of the same set of methods meaningful?</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701620,,Q,5,JRevNode15Q2,1,"<p dir=""ltr""><b id=""docs-internal-guid-dfe3c127-7fff-ed3e-071c-f38cc0882c43"">Are the elements of the feature functionally cohesive, i.e. do the set of methods that occur together (appear to) contribute to the same functions? Assign a cohesion score from 1 (for low cohesion) to 3 (for high cohesion)</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701621,,Q,Y,JRevNode15Q3,1,"<b id=""docs-internal-guid-5b3be9c5-7fff-656f-dfd0-386a1914ca7a"">Does the feature correspond to a “useful” or “interesting” domain abstraction”.</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701622,,Q,T,JRevNode15Q4,"((579469X32124X701621.NAOK == ""N""))","<p dir=""ltr""><b id=""docs-internal-guid-c236e001-7fff-fdf9-a66e-b3d31c67d49b"">Do you see a design anomaly that could have explained how/why this case (multiple occurrences of a set of methods) showed up?</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174923,701621,C,1,579469X32124X701621,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701623,,Q,T,JRevNode15Q5,"((579469X32124X701621.NAOK == ""N""))","<p dir=""ltr""><b id=""docs-internal-guid-4fc83f86-7fff-9116-d7ab-d920ebec445e"">Can you think of a “rule” that could have excluded this case?</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174924,701621,C,1,579469X32124X701621,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32125,,G,4,Candidate Feature Evaluation - JReversePro - Node 24,Array,"<ul><li dir=""ltr"">	<p dir=""ltr""><b id=""docs-internal-guid-d2252d02-7fff-f7dd-5807-0110e30bcac3"">Extent: </b>[jreversepro.awtui.JClassEditPanel, jreversepro.gui.JClassEditPanel]</p>	</li>	<li dir=""ltr"">	<p dir=""ltr""><b>Intent: </b>[Font getEditorFont(), void JClassEditPanel(), void setEditorFont(Font aFont), void writeCode(String aCode)]</p>	</li></ul>",,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701624,,Q,Y,JRevNode24Q1,1,"<b id=""docs-internal-guid-fcbda8b0-7fff-2782-3cd8-37b00a19efac"">Is the multiple occurrence of the same set of methods meaningful?</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701625,,Q,5,JRevNode24Q2,1,"<p dir=""ltr""><b id=""docs-internal-guid-dfe3c127-7fff-ed3e-071c-f38cc0882c43"">Are the elements of the feature functionally cohesive, i.e. do the set of methods that occur together (appear to) contribute to the same functions? Assign a cohesion score from 1 (for low cohesion) to 3 (for high cohesion)</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701626,,Q,Y,JRevNode24Q3,1,"<b id=""docs-internal-guid-5b3be9c5-7fff-656f-dfd0-386a1914ca7a"">Does the feature correspond to a “useful” or “interesting” domain abstraction”.</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701627,,Q,T,JRevNode24Q4,"((579469X32125X701626.NAOK == ""N""))","<p dir=""ltr""><b id=""docs-internal-guid-c236e001-7fff-fdf9-a66e-b3d31c67d49b"">Do you see a design anomaly that could have explained how/why this case (multiple occurrences of a set of methods) showed up?</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174925,701626,C,1,579469X32125X701626,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701628,,Q,T,JRevNode24Q5,"((579469X32125X701626.NAOK == ""N""))","<p dir=""ltr""><b id=""docs-internal-guid-4fc83f86-7fff-9116-d7ab-d920ebec445e"">Can you think of a “rule” that could have excluded this case?</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174926,701626,C,1,579469X32125X701626,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32126,,G,5,Candidate Feature Evaluation - JReversePro - Node20,Array,"<ul><li dir=""ltr"">	<p dir=""ltr""><b id=""docs-internal-guid-2bee9098-7fff-6491-dcd0-c9ed82445d1b"">Extent:</b> [jreversepro.reflect.JField, jreversepro.runtime.Operand]</p>	</li>	<li dir=""ltr"">	<p dir=""ltr""><b>Intent: </b>[String getDatatype(), String getValue()]</p>	</li></ul>",,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701629,,Q,Y,JRevNode20Q1,1,"<b id=""docs-internal-guid-fcbda8b0-7fff-2782-3cd8-37b00a19efac"">Is the multiple occurrence of the same set of methods meaningful?</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
